username,waktu,konten
antaranews.com,23-05-2025 17:01,"antaranews.com antaranews.com @antaranews · Menurut Imam, hal tersebut layak untuk dilakukan karena istri anggota  Polri  memegang peran penting dalam tugas setiap anggota  Polri . Dankor Brimob beri tempat pemakaman gratis untuk istri anggota Polri 1 1 1 189 189 189"
lantas.prabumulih,23-05-2025 10:29,"lantas.prabumulih lantas.prabumulih @LantasPBM · Situasi arus lalu lintas pagi di seputaran Pos Rel Perlintasan Kereta Api Kota Prabumulih. Jumat, 23 Mei 2025. @NTMCLantasPolri @SosmedNtmc @NTMCSumsel @PolisiSumsel @ResPbm @sumsel_polda @Spripim_Polri #PolriPresisi 2 2 2 12 12 12"
Monica,23-05-2025 17:28,"Monica Monica @NenkMonica · Hasil akhir sebagaimana tercantum di bawah ya, terima kasih kpd semua netizen yg telah berpartisipasi.
Cc: @jokowi @DivHumas_Polri @PolriBareskrim @PUSLABFOR_POLRI @Metro_TV @tvOneNews @KompasTV Monica Monica @NenkMonica · Apakah anda percaya dg keterangan yg disampaikan oleh Bareskrim Polri yg menyatakan Ijazah Jokowi ASLI ? Show this poll 1 1 1 9 9 9 13 13 13 275 275 275"
Bang Jarwo,23-05-2025 08:30,"Bang Jarwo Bang Jarwo @BangJarwoSopo7 · Aneh kinerja  #POLRI  presisi kepemimpinan  @ListyoSigitP  sangat TIDAK PROFESIONAL Suluh98 Suluh98 @_Haris_Srg · Gak ditunjukan yg Asli malah diminta yg ditampilkan dilayar adalah Asli. Kok makin tuman saja ya?
Apakah kita satu republik ini harus BODOH utk SATU ORANG WARGA NEGARA?
Hallo  @prabowo @prabowo  kami dah capek loh diam, sudah letih melihat ""kenakalan-kenakalan"" dan tipu daya itu. Tolonglah! x.com/tvonenews/stat… 2 2 2 2 2 2 15 15 15"
Polres Trenggalek,23-05-2025 10:36,"Polres Trenggalek Polres Trenggalek @1trenggalek · Direktorat Tindak Pidana Siber Bareskrim  Polri  bersama Direktorat Perlindungan Perempuan dan Anak (PPA) mengungkap kasus penyebaran konten pornografi anak melalui grup Facebook ""Fantasi Sedarah"" dan ""Suka Duka"".  Polri #ProfesionalTegakkanHukum  Serta Tuntas Ungkap Kejahatan 2 2 2 7 7 7 11 11 11 90 90 90"
P@k_K@rti,23-05-2025 12:57,"P@k_K@rti P@k_K@rti @PakKarti · Selepas kompers Bareskrim  Polri , ada yg menggelitik terkait dengan berita Tempo tgl 29 Juni 2013.

Ada 3 pihak yang kontradiktif terkait dengan syarat kelulusan bagi Jokowi ;

a) Tempo                 Jokowi                 UGM              b) Tempo           Show more 2 2 2 2 2 2 106 106 106"
Syarman Lawyer,23-05-2025 10:07,Syarman Lawyer Syarman Lawyer @Syarman59 · Penegakan hukum pemberantasan korupsi jaman now tergantung pada selera Penguasa dan Oligarki @KejaksaanRI @KPK_RI @DivHumas_Polri  bak macan ompong 2 2 2 11 11 11 25 25 25 404 404 404
Bang Jarwo,23-05-2025 08:01,"Bang Jarwo Bang Jarwo @BangJarwoSopo7 · Bagaimana masyarakat akan percaya dengan penyidik  #POLRI  yg seperti ini rekam jejaknya. @ListyoSigitP @Poldametrojaya_ Ary Ary @Ary_PrasKe2 · Apakah Orang Yang Sama Dan Identik?

Hanya Bertanya  Konferensi Pers Dirtipidum Bareskrim Polri Brigjen Djuhandhani Rahardjo Puro : “Ijazah Jokowi Identik Dan Telah Di Buktikan KeAsliannya” ? 2 2 2 1 1 1 2 2 2 53 53 53"
Davano Jambaq,23-05-2025 13:18,"Davano Jambaq Davano Jambaq @davano84 · @neVerAl0nely Dekan , rektor sma ?  @DivHumas_Polri 2 2 2 312 312 312"
Badan Standardisasi Nasional (BSN),23-05-2025 14:16,"Badan Standardisasi Nasional (BSN) Badan Standardisasi Nasional (BSN) @bsn_sni · SNIzen dan ReKAN! Untuk pertama kalinya di Indonesia, Laboratorium Pusat Penelitian dan Pengembangan (Puslitbang)  POLRI  resmi meraih sertifikat akreditasi dari Komite Akreditasi Nasional (KAN) untuk ruang lingkup pengujian produk-produk kepolisian (1/6) 1 1 1 19 19 19"
